event_index,relation,operation,latency_micros,answer_delta_count,live_tuple_count,aggregate_group_count,used_memory_bytes,correctness_status
396,customer,INSERT,443,0,396,0,17601024,
397,customer,INSERT,268,0,397,0,17601024,
398,customer,INSERT,273,0,398,0,17601024,
399,customer,INSERT,265,0,399,0,18275776,
400,customer,INSERT,258,0,400,0,18275776,
401,customer,INSERT,256,0,401,0,18275776,
402,customer,INSERT,261,0,402,0,18275776,
403,customer,INSERT,268,0,403,0,18950552,
404,customer,INSERT,266,0,404,0,18950552,
405,customer,INSERT,265,0,405,0,18950552,
406,customer,INSERT,264,0,406,0,18950552,
407,customer,INSERT,265,0,407,0,18950552,
408,customer,INSERT,266,0,408,0,19625312,
409,customer,INSERT,269,0,409,0,19625312,
410,customer,INSERT,270,0,410,0,19625312,
411,customer,INSERT,264,0,411,0,19625312,
412,customer,INSERT,269,0,412,0,20300088,
413,customer,INSERT,268,0,413,0,20300088,
414,customer,INSERT,268,0,414,0,20300088,
415,customer,INSERT,270,0,415,0,20300088,
416,customer,INSERT,270,0,416,0,20974864,
417,customer,INSERT,273,0,417,0,20974864,
418,customer,INSERT,277,0,418,0,20974864,
419,customer,INSERT,289,0,419,0,20974864,
420,customer,INSERT,274,0,420,0,21649624,
421,customer,INSERT,275,0,421,0,21649624,
422,customer,INSERT,284,0,422,0,21649624,
423,customer,INSERT,277,0,423,0,21649624,
424,customer,INSERT,278,0,424,0,22324376,
425,customer,INSERT,284,0,425,0,22324376,
426,customer,INSERT,288,0,426,0,22324376,
427,customer,INSERT,284,0,427,0,22324376,
428,customer,INSERT,288,0,428,0,22999096,
429,customer,INSERT,287,0,429,0,22999096,
430,customer,INSERT,285,0,430,0,22999096,
431,customer,INSERT,284,0,431,0,22999096,
432,customer,INSERT,286,0,432,0,23673816,
433,customer,INSERT,284,0,433,0,23673816,
434,customer,INSERT,286,0,434,0,23673816,
435,customer,INSERT,294,0,435,0,23673816,
436,customer,INSERT,286,0,436,0,24348568,
437,customer,INSERT,286,0,437,0,24348568,
438,customer,INSERT,291,0,438,0,24348568,
439,customer,INSERT,289,0,439,0,24348568,
440,customer,INSERT,292,0,440,0,25023320,
441,customer,INSERT,290,0,441,0,25023320,
442,customer,INSERT,291,0,442,0,25023320,
443,customer,INSERT,296,0,443,0,25698200,
444,customer,INSERT,293,0,444,0,25698200,
445,customer,INSERT,298,0,445,0,25698200,
446,customer,INSERT,298,0,446,0,25698200,
447,customer,INSERT,297,0,447,0,26372952,
448,customer,INSERT,296,0,448,0,26372952,
449,customer,INSERT,297,0,449,0,26372952,
450,customer,INSERT,297,0,450,0,26372952,
451,customer,INSERT,300,0,451,0,27047704,
452,customer,INSERT,298,0,452,0,27047704,
453,customer,INSERT,321,0,453,0,27047704,
454,customer,INSERT,304,0,454,0,27047704,
455,customer,INSERT,302,0,455,0,27722480,
456,customer,INSERT,303,0,456,0,27722480,
457,customer,INSERT,302,0,457,0,27722480,
458,customer,INSERT,307,0,458,0,28397200,
459,customer,INSERT,305,0,459,0,28397200,
460,customer,INSERT,307,0,460,0,28397200,
461,customer,INSERT,328,0,461,0,28397200,
462,customer,INSERT,316,0,462,0,29071952,
463,customer,INSERT,310,0,463,0,29071952,
464,customer,INSERT,311,0,464,0,29071952,
465,customer,INSERT,310,0,465,0,29071952,
466,customer,INSERT,312,0,466,0,29746712,
467,customer,INSERT,312,0,467,0,29746712,
468,customer,INSERT,313,0,468,0,29746712,
469,customer,INSERT,317,0,469,0,30421488,
470,customer,INSERT,315,0,470,0,30421488,
471,customer,INSERT,316,0,471,0,30421488,
472,customer,INSERT,318,0,472,0,30421488,
473,customer,INSERT,323,0,473,0,31096208,
474,customer,INSERT,334,0,474,0,31096208,
475,customer,INSERT,320,0,475,0,31096208,
476,customer,INSERT,324,0,476,0,31770960,
477,customer,INSERT,322,0,477,0,31770960,
478,customer,INSERT,325,0,478,0,31770960,
479,customer,INSERT,323,0,479,0,31770960,
480,customer,INSERT,324,0,480,0,32445712,
481,customer,INSERT,324,0,481,0,32445712,
482,customer,INSERT,403,0,482,0,32445712,
483,customer,INSERT,330,0,483,0,33120464,
484,customer,INSERT,329,0,484,0,33120464,
485,customer,INSERT,328,0,485,0,33120464,
486,customer,INSERT,328,0,486,0,33795272,
487,customer,INSERT,331,0,487,0,33795272,
488,customer,INSERT,331,0,488,0,33795272,
489,customer,INSERT,333,0,489,0,33795272,
490,customer,INSERT,336,0,490,0,34469992,
491,customer,INSERT,333,0,491,0,34469992,
492,customer,INSERT,335,0,492,0,34469992,
493,customer,INSERT,336,0,493,0,35144744,
494,customer,INSERT,336,0,494,0,35144744,
495,customer,INSERT,345,0,495,0,35144744,
496,customer,INSERT,338,0,496,0,35144744,
497,customer,INSERT,341,0,497,0,35819504,
498,customer,INSERT,340,0,498,0,35819504,
499,customer,INSERT,341,0,499,0,35819504,
500,customer,INSERT,342,0,500,0,36494256,ok
501,customer,INSERT,345,0,501,0,36494256,
502,customer,INSERT,342,0,502,0,36494256,
503,customer,INSERT,343,0,503,0,37169008,
504,customer,INSERT,344,0,504,0,37169008,
505,customer,INSERT,345,0,505,0,37169008,
506,customer,INSERT,347,0,506,0,37843760,
507,customer,INSERT,347,0,507,0,37843760,
508,customer,INSERT,348,0,508,0,37843760,
509,customer,INSERT,352,0,509,0,37843760,
510,customer,INSERT,363,0,510,0,38518520,
511,customer,INSERT,354,0,511,0,38518520,
512,customer,INSERT,353,0,512,0,38518520,
513,customer,INSERT,645,0,513,0,39193272,
514,customer,INSERT,801,0,514,0,39534080,
515,customer,INSERT,677,0,515,0,39534080,
516,customer,INSERT,706,0,516,0,40208840,
517,customer,INSERT,405,0,517,0,40208840,
518,customer,INSERT,366,0,518,0,40208840,
519,customer,INSERT,365,0,519,0,40883600,
520,customer,INSERT,373,0,520,0,40883600,
521,customer,INSERT,367,0,521,0,40883600,
522,customer,INSERT,369,0,522,0,41558376,
523,customer,INSERT,365,0,523,0,41558376,
524,customer,INSERT,1960,0,524,0,41558376,
525,customer,INSERT,14394,0,525,0,8910776,
526,customer,INSERT,10050,0,526,0,8910776,
527,customer,INSERT,1122,0,527,0,8910776,
528,customer,INSERT,370,0,528,0,8910776,
529,customer,INSERT,368,0,529,0,8910776,
530,customer,INSERT,360,0,530,0,8910776,
531,customer,INSERT,381,0,531,0,10260256,
532,customer,INSERT,364,0,532,0,10260256,
533,customer,INSERT,396,0,533,0,10260256,
534,customer,INSERT,385,0,534,0,10260256,
535,customer,INSERT,372,0,535,0,10260256,
536,customer,INSERT,363,0,536,0,10260256,
537,customer,INSERT,371,0,537,0,11609728,
538,customer,INSERT,367,0,538,0,11609728,
539,customer,INSERT,370,0,539,0,11609728,
540,customer,INSERT,367,0,540,0,11609728,
541,customer,INSERT,368,0,541,0,11609728,
542,customer,INSERT,372,0,542,0,11609728,
543,customer,INSERT,373,0,543,0,12959200,
544,customer,INSERT,372,0,544,0,12959200,
545,customer,INSERT,372,0,545,0,12959200,
546,customer,INSERT,374,0,546,0,12959200,
547,customer,INSERT,373,0,547,0,12959200,
548,customer,INSERT,374,0,548,0,12959200,
549,customer,INSERT,417,0,549,0,14308720,
550,customer,INSERT,382,0,550,0,14308720,
551,customer,INSERT,381,0,551,0,14308720,
552,customer,INSERT,382,0,552,0,14308720,
553,customer,INSERT,385,0,553,0,14308720,
554,customer,INSERT,378,0,554,0,14308720,
555,customer,INSERT,384,0,555,0,15658216,
556,customer,INSERT,385,0,556,0,15658216,
557,customer,INSERT,384,0,557,0,15658216,
558,customer,INSERT,383,0,558,0,15658216,
559,customer,INSERT,384,0,559,0,15658216,
560,customer,INSERT,384,0,560,0,15658216,
561,customer,INSERT,389,0,561,0,17007696,
562,customer,INSERT,389,0,562,0,17007696,
563,customer,INSERT,394,0,563,0,17007696,
564,customer,INSERT,511,0,564,0,17007696,
565,customer,INSERT,401,0,565,0,17007696,
566,customer,INSERT,396,0,566,0,17007696,
567,customer,INSERT,405,0,567,0,18357192,
568,customer,INSERT,409,0,568,0,18357192,
569,customer,INSERT,404,0,569,0,18357192,
