event_index,relation,operation,latency_micros,answer_delta_count,live_tuple_count,aggregate_group_count,used_memory_bytes,correctness_status
273,customer,INSERT,51,0,273,0,21812104,
274,customer,INSERT,50,0,274,0,21812104,
275,customer,INSERT,51,0,275,0,21812104,
276,customer,INSERT,63,0,276,0,21812104,
277,customer,INSERT,51,0,277,0,21812104,
278,customer,INSERT,53,0,278,0,21812104,
279,customer,INSERT,262,0,279,0,21812104,
280,customer,INSERT,138,0,280,0,21812104,
281,customer,INSERT,51,0,281,0,21812104,
282,customer,INSERT,53,0,282,0,21812104,
283,customer,INSERT,53,0,283,0,21812104,
284,customer,INSERT,52,0,284,0,21812104,
285,customer,INSERT,52,0,285,0,21812104,
286,customer,INSERT,52,0,286,0,21812104,
287,customer,INSERT,52,0,287,0,21812104,
288,customer,INSERT,52,0,288,0,21812104,
289,customer,INSERT,52,0,289,0,21812104,
290,customer,INSERT,52,0,290,0,21812104,
291,customer,INSERT,53,0,291,0,21812104,
292,customer,INSERT,53,0,292,0,21812104,
293,customer,INSERT,53,0,293,0,21812104,
294,customer,INSERT,53,0,294,0,21812104,
295,customer,INSERT,54,0,295,0,22493712,
296,customer,INSERT,53,0,296,0,22493712,
297,customer,INSERT,65,0,297,0,22493712,
298,customer,INSERT,54,0,298,0,22493712,
299,customer,INSERT,53,0,299,0,22493712,
300,customer,INSERT,54,0,300,0,22493712,
301,customer,INSERT,53,0,301,0,22493712,
302,customer,INSERT,54,0,302,0,22493712,
303,customer,INSERT,53,0,303,0,22493712,
304,customer,INSERT,55,0,304,0,22493712,
305,customer,INSERT,55,0,305,0,22493712,
306,customer,INSERT,56,0,306,0,22493712,
307,customer,INSERT,55,0,307,0,22493712,
308,customer,INSERT,60,0,308,0,22493712,
309,customer,INSERT,56,0,309,0,22493712,
310,customer,INSERT,58,0,310,0,22493712,
311,customer,INSERT,55,0,311,0,22493712,
312,customer,INSERT,57,0,312,0,22493712,
313,customer,INSERT,56,0,313,0,22493712,
314,customer,INSERT,56,0,314,0,22493712,
315,customer,INSERT,57,0,315,0,22493712,
316,customer,INSERT,55,0,316,0,22493712,
317,customer,INSERT,58,0,317,0,22493712,
318,customer,INSERT,64,0,318,0,22493712,
319,customer,INSERT,57,0,319,0,22493712,
320,customer,INSERT,56,0,320,0,22493712,
321,customer,INSERT,59,0,321,0,22493712,
322,customer,INSERT,56,0,322,0,22493712,
323,customer,INSERT,59,0,323,0,22493712,
324,customer,INSERT,59,0,324,0,22493712,
325,customer,INSERT,59,0,325,0,22493712,
326,customer,INSERT,57,0,326,0,22493712,
327,customer,INSERT,63,0,327,0,22493712,
328,customer,INSERT,57,0,328,0,22493712,
329,customer,INSERT,59,0,329,0,22493712,
330,customer,INSERT,57,0,330,0,22493712,
331,customer,INSERT,73,0,331,0,22493712,
332,customer,INSERT,58,0,332,0,22493712,
333,customer,INSERT,59,0,333,0,23175320,
334,customer,INSERT,61,0,334,0,23175320,
335,customer,INSERT,184,0,335,0,23175320,
336,customer,INSERT,68,0,336,0,23175320,
337,customer,INSERT,59,0,337,0,23175320,
338,customer,INSERT,61,0,338,0,23175320,
339,customer,INSERT,64,0,339,0,23175320,
340,customer,INSERT,449,0,340,0,23175320,
341,customer,INSERT,1090,0,341,0,23175320,
342,customer,INSERT,259,0,342,0,23175320,
343,customer,INSERT,63,0,343,0,23175320,
344,customer,INSERT,64,0,344,0,23175320,
345,customer,INSERT,64,0,345,0,23175320,
346,customer,INSERT,60,0,346,0,23175320,
347,customer,INSERT,63,0,347,0,23175320,
348,customer,INSERT,62,0,348,0,23175320,
349,customer,INSERT,60,0,349,0,23175320,
350,customer,INSERT,61,0,350,0,23175320,
351,customer,INSERT,64,0,351,0,23175320,
352,customer,INSERT,62,0,352,0,23175320,
353,customer,INSERT,60,0,353,0,23175320,
354,customer,INSERT,62,0,354,0,23175320,
355,customer,INSERT,63,0,355,0,23175320,
356,customer,INSERT,62,0,356,0,23175320,
357,customer,INSERT,63,0,357,0,23175320,
358,customer,INSERT,63,0,358,0,23175320,
359,customer,INSERT,61,0,359,0,23175320,
360,customer,INSERT,63,0,360,0,23175320,
361,customer,INSERT,63,0,361,0,23175320,
362,customer,INSERT,67,0,362,0,23175320,
363,customer,INSERT,63,0,363,0,23175320,
364,customer,INSERT,63,0,364,0,23175320,
365,customer,INSERT,62,0,365,0,23175320,
366,customer,INSERT,62,0,366,0,23175320,
367,customer,INSERT,65,0,367,0,23175320,
368,customer,INSERT,66,0,368,0,23856928,
369,customer,INSERT,65,0,369,0,23856928,
370,customer,INSERT,64,0,370,0,23856928,
371,customer,INSERT,65,0,371,0,23856928,
372,customer,INSERT,66,0,372,0,23856928,
373,customer,INSERT,65,0,373,0,23856928,
374,customer,INSERT,65,0,374,0,23856928,
375,customer,INSERT,65,0,375,0,23856928,
376,customer,INSERT,65,0,376,0,23856928,
377,customer,INSERT,65,0,377,0,23856928,
378,customer,INSERT,65,0,378,0,23856928,
379,customer,INSERT,66,0,379,0,23856928,
380,customer,INSERT,65,0,380,0,23856928,
381,customer,INSERT,66,0,381,0,23856928,
382,customer,INSERT,69,0,382,0,23856928,
383,customer,INSERT,81,0,383,0,23856928,
384,customer,INSERT,68,0,384,0,23856928,
385,customer,INSERT,70,0,385,0,23856928,
386,customer,INSERT,183,0,386,0,23856928,
387,customer,INSERT,2564,0,387,0,23856928,
388,customer,INSERT,2627,0,388,0,23856928,
389,customer,INSERT,2793,0,389,0,23856928,
390,customer,INSERT,1083,0,390,0,23856928,
391,customer,INSERT,218,0,391,0,23856928,
392,customer,INSERT,76,0,392,0,23856928,
393,customer,INSERT,70,0,393,0,23856928,
394,customer,INSERT,69,0,394,0,23856928,
395,customer,INSERT,69,0,395,0,23856928,
396,customer,INSERT,68,0,396,0,23856928,
397,customer,INSERT,69,0,397,0,23856928,
398,customer,INSERT,68,0,398,0,23856928,
399,customer,INSERT,69,0,399,0,23856928,
400,customer,INSERT,69,0,400,0,23856928,
401,customer,INSERT,80,0,401,0,24538536,
402,customer,INSERT,70,0,402,0,24538536,
403,customer,INSERT,69,0,403,0,24538536,
404,customer,INSERT,69,0,404,0,24538536,
405,customer,INSERT,69,0,405,0,24538536,
406,customer,INSERT,69,0,406,0,24538536,
407,customer,INSERT,72,0,407,0,24538536,
408,customer,INSERT,71,0,408,0,24538536,
409,customer,INSERT,71,0,409,0,24538536,
410,customer,INSERT,71,0,410,0,24538536,
411,customer,INSERT,74,0,411,0,24538536,
412,customer,INSERT,73,0,412,0,24538536,
413,customer,INSERT,70,0,413,0,24538536,
414,customer,INSERT,71,0,414,0,24538536,
415,customer,INSERT,70,0,415,0,24538536,
416,customer,INSERT,70,0,416,0,24538536,
417,customer,INSERT,70,0,417,0,24538536,
418,customer,INSERT,70,0,418,0,24538536,
419,customer,INSERT,73,0,419,0,24538536,
420,customer,INSERT,71,0,420,0,24538536,
421,customer,INSERT,71,0,421,0,24538536,
422,customer,INSERT,75,0,422,0,24538536,
423,customer,INSERT,71,0,423,0,24538536,
424,customer,INSERT,73,0,424,0,24538536,
425,customer,INSERT,71,0,425,0,24538536,
426,customer,INSERT,73,0,426,0,24538536,
427,customer,INSERT,73,0,427,0,24538536,
428,customer,INSERT,73,0,428,0,24538536,
429,customer,INSERT,73,0,429,0,24538536,
430,customer,INSERT,74,0,430,0,24538536,
431,customer,INSERT,72,0,431,0,24538536,
432,customer,INSERT,75,0,432,0,25220208,
433,customer,INSERT,74,0,433,0,25220208,
434,customer,INSERT,74,0,434,0,25220208,
435,customer,INSERT,73,0,435,0,25220208,
436,customer,INSERT,73,0,436,0,25220208,
437,customer,INSERT,78,0,437,0,25220208,
438,customer,INSERT,74,0,438,0,25220208,
439,customer,INSERT,75,0,439,0,25220208,
440,customer,INSERT,83,0,440,0,25220208,
441,customer,INSERT,77,0,441,0,25220208,
442,customer,INSERT,79,0,442,0,25220208,
443,customer,INSERT,242,0,443,0,25220208,
444,customer,INSERT,1401,0,444,0,25220208,
445,customer,INSERT,454,0,445,0,25220208,
446,customer,INSERT,76,0,446,0,25220208,
447,customer,INSERT,79,0,447,0,25220208,
448,customer,INSERT,78,0,448,0,25220208,
449,customer,INSERT,74,0,449,0,25220208,
450,customer,INSERT,77,0,450,0,25220208,
451,customer,INSERT,77,0,451,0,25220208,
452,customer,INSERT,81,0,452,0,25220208,
453,customer,INSERT,76,0,453,0,25220208,
454,customer,INSERT,76,0,454,0,25220208,
455,customer,INSERT,77,0,455,0,25220208,
456,customer,INSERT,77,0,456,0,25220208,
457,customer,INSERT,76,0,457,0,25220208,
458,customer,INSERT,78,0,458,0,25220208,
459,customer,INSERT,79,0,459,0,25220208,
